No.,항목,5대 역량,10대 영역,항목 수정,휴넷 항목 수정,DS Keyword,휴넷 Keyword,Final Keyword,강점 Description,보완할점 Description,온/오프라인 콘텐츠,리더십 강화를 위한Tip
1,WLB/잔특근,-,-,일과 생활의 균형,,"일과 생활의 균형
휴가 사용
잔업, 특근(휴일 근무) ","삶의 질, 워라밸, 휴가, 균형,",,,,,
2,공정한 평가/보상/대우,몰입촉진,동기부여,공정한 평가 및 기회,,"공정한 평가
균등한 기회부여","공정성, 평가방식, 
납득성, 기회, 피드백, 
보상",,,,,
3,권한위임,몰입촉진,신뢰구축,권한위임,,"자율적 업무권한 부여
믿고 맡김
마이크로매니징","가이드라인, 업무방식, 자율성, 책임감, 신뢰, 
권한",,,,,
4,다양성/수평적 문화,몰입촉진,신뢰구축,"다양성 존중, 수평적 조직문화",,"다양성, 차이 존중
수평적, 유연한 관계 및 분위기
경직적, 고압적, 관료적 분위기 ","상호존중, 다양성, 이해, 의견제시, 의견수렴, 
명령, 지시, 수용적, 경청, 상호존중",,,,,
5,"마음관리(고충,스트레스)",몰입촉진,신뢰구축,"마음관리(고충, 스트레스 관리 등) ",,"고민, 고충 청취 및 해결
부서원 관심/배려
스트레스, 마음건강 관리","코칭, 상담, 고민, 고충, 관심, 경청, 스트레스, 공감, 배려, 관심",,,,,
6,소통/경청/의견 존중,몰입촉진,신뢰구축,"경청, 공감, 존중의 소통",,"부서원 의견 경청/존중
원활한 대화
활발한 소통, 공감","경청, 공감, 소통, 대화, 언어적/비언어적 반응",,,,,
7,칭찬/격려/동기부여,몰입촉진,동기부여,"동기부여(칭찬, 인정 등)",,"칭찬, 인정, 격려 자존감, 사기 고취
질책, 비난 X","칭찬, 인정, 배려, 질책, 관심, 격려, 피드백, 
구체적, 독려, 동기, 
목표수립",,,,,
8,팀워크/분위기 조성/리더십,몰입촉진,신뢰구축,삭제가능,,,"팀워크, 배려, 동료, 지원, 협조, 협력적, 갈등해결, 업무협조, 리더특성",,,,,
9,변화/혁신/실패용인,미래통찰,변화혁신,혁신 및 도전 추구 ,,"변화, 도전, 혁신 실천
변화, 도전 환경 조성
실수, 실패도 용인","변화관리, 변화수용, 
변화주도, 저항극복, 
혁신적, 추진력, 실행력, 인내심, 성취욕, 능동적 
위험감수",,,,,
10,비전 제시/공유,미래통찰,비전제시,비전 제시 및 공유,,"조직/부서 비전 수립/공유
중장기/미래 준비","비전제시, 비전공유, 
개인비전, 경력관리, 
사업이해",,,,,
11,신사업/시장/고객 개척,미래통찰,변화혁신,신규사업 발굴 및 미래 대비,,"신규 시장/고객 발굴/개척
사업 확장/강화","신사업, 전략, 환경분석, 시장, 고객, 변화추진, 
모니터링, 도전적목표, 
미래지향적",,,,,
12,전략적 사고/행동,미래통찰,변화혁신,전략적 사고 및 행동,,"전략/분석적 사고/행동
거시적/다각적 관점","전략, 의사결정, 추진력, 행동력, 환경분석, 대안수립",,,,,
